# status	platforms	image   (Stand 2026-09-22, upstream kind-deployment fb845c8)
AMD64-ONLY	single:amd64	erichough/nfs-server:latest
ARM64	386,amd64,arm,arm64,ppc64le,riscv64,s390x	alpine:latest
ARM64	386,amd64,arm,arm64,ppc64le,riscv64,s390x	nginx:alpine
ARM64	amd64,arm,arm64	natsio/nats-server-config-reloader:0.21.1
ARM64	amd64,arm,arm64,ppc64le,riscv64,s390x	registry:3
ARM64	amd64,arm,arm64,ppc64le,s390x	alpine/openssl:latest
ARM64	amd64,arm,arm64,ppc64le,s390x	nats:2.12.4-alpine
ARM64	amd64,arm,arm64,s390x	natsio/nats-box:0.19.3
ARM64	amd64,arm64	docker.io/bitnamilegacy/minio:2025.7.23-debian-12-r3
ARM64	amd64,arm64	docker.io/bitnamilegacy/os-shell:12-debian-12-r51
ARM64	amd64,arm64	docker.io/bitnamilegacy/postgresql:17.6.0-debian-12-r4
ARM64	amd64,arm64	docker.io/istio/pilot:1.29.1
ARM64	amd64,arm64	docker.io/istio/proxyv2:1.29.1
ARM64	amd64,arm64	docker.io/kindest/node:v1.36.1
ARM64	amd64,arm64	ghcr.io/cloudfoundry/k8s/auctioneer:2.149.0
ARM64	amd64,arm64	ghcr.io/cloudfoundry/k8s/bbs:2.149.0
ARM64	amd64,arm64	ghcr.io/cloudfoundry/k8s/binary-buildpack:2.0.0
ARM64	amd64,arm64	ghcr.io/cloudfoundry/k8s/bosh-dns-adapter:3.122.0
ARM64	amd64,arm64	ghcr.io/cloudfoundry/k8s/bosh-dns:1.39.27
ARM64	amd64,arm64	ghcr.io/cloudfoundry/k8s/cc-nginx:1.244.0
ARM64	amd64,arm64	ghcr.io/cloudfoundry/k8s/cc-uploader:1.244.0
ARM64	amd64,arm64	ghcr.io/cloudfoundry/k8s/cf-auth-proxy:3.2.13
ARM64	amd64,arm64	ghcr.io/cloudfoundry/k8s/cf-tcp-router:0.393.0
ARM64	amd64,arm64	ghcr.io/cloudfoundry/k8s/cflinuxfs4:1.324.0
ARM64	amd64,arm64	ghcr.io/cloudfoundry/k8s/cflinuxfs5:0.53.0
ARM64	amd64,arm64	ghcr.io/cloudfoundry/k8s/cloud-controller:1.244.0
ARM64	amd64,arm64	ghcr.io/cloudfoundry/k8s/credhub:2.15.21
ARM64	amd64,arm64	ghcr.io/cloudfoundry/k8s/doppler:107.0.34
ARM64	amd64,arm64	ghcr.io/cloudfoundry/k8s/dotnet-core-buildpack:2.4.52
ARM64	amd64,arm64	ghcr.io/cloudfoundry/k8s/fileserver:2.149.0
ARM64	amd64,arm64	ghcr.io/cloudfoundry/k8s/forwarder-agent:8.3.27
ARM64	amd64,arm64	ghcr.io/cloudfoundry/k8s/gateway:3.2.13
ARM64	amd64,arm64	ghcr.io/cloudfoundry/k8s/go-buildpack:1.11.0
ARM64	amd64,arm64	ghcr.io/cloudfoundry/k8s/gorouter:0.393.0
ARM64	amd64,arm64	ghcr.io/cloudfoundry/k8s/java-buildpack:5.0.7
ARM64	amd64,arm64	ghcr.io/cloudfoundry/k8s/locket:2.149.0
ARM64	amd64,arm64	ghcr.io/cloudfoundry/k8s/log-cache:3.2.13
ARM64	amd64,arm64	ghcr.io/cloudfoundry/k8s/loggregator-agent:8.3.27
ARM64	amd64,arm64	ghcr.io/cloudfoundry/k8s/nfsbroker:7.70.0
ARM64	amd64,arm64	ghcr.io/cloudfoundry/k8s/nfsv3driver:7.70.0
ARM64	amd64,arm64	ghcr.io/cloudfoundry/k8s/nginx-buildpack:1.2.39
ARM64	amd64,arm64	ghcr.io/cloudfoundry/k8s/nodejs-buildpack:1.9.4
ARM64	amd64,arm64	ghcr.io/cloudfoundry/k8s/php-buildpack:5.1.2
ARM64	amd64,arm64	ghcr.io/cloudfoundry/k8s/policy-agent:0.4.0
ARM64	amd64,arm64	ghcr.io/cloudfoundry/k8s/policy-server:3.122.0
ARM64	amd64,arm64	ghcr.io/cloudfoundry/k8s/python-buildpack:1.9.4
ARM64	amd64,arm64	ghcr.io/cloudfoundry/k8s/r-buildpack:1.2.28
ARM64	amd64,arm64	ghcr.io/cloudfoundry/k8s/rep:0.7.0
ARM64	amd64,arm64	ghcr.io/cloudfoundry/k8s/reverse-log-proxy-gateway:107.0.34
ARM64	amd64,arm64	ghcr.io/cloudfoundry/k8s/reverse-log-proxy:107.0.34
ARM64	amd64,arm64	ghcr.io/cloudfoundry/k8s/route-emitter:2.149.0
ARM64	amd64,arm64	ghcr.io/cloudfoundry/k8s/route-registrar:0.393.0
ARM64	amd64,arm64	ghcr.io/cloudfoundry/k8s/routing-api:0.393.0
ARM64	amd64,arm64	ghcr.io/cloudfoundry/k8s/ruby-buildpack:1.11.1
ARM64	amd64,arm64	ghcr.io/cloudfoundry/k8s/service-discovery-controller:3.122.0
ARM64	amd64,arm64	ghcr.io/cloudfoundry/k8s/ssh-proxy:2.149.0
ARM64	amd64,arm64	ghcr.io/cloudfoundry/k8s/staticfile-buildpack:1.6.39
ARM64	amd64,arm64	ghcr.io/cloudfoundry/k8s/syslog-agent:8.3.27
ARM64	amd64,arm64	ghcr.io/cloudfoundry/k8s/syslog-binding-cache:8.3.27
ARM64	amd64,arm64	ghcr.io/cloudfoundry/k8s/syslog-server:3.2.13
ARM64	amd64,arm64	ghcr.io/cloudfoundry/k8s/tps-watcher:1.244.0
ARM64	amd64,arm64	ghcr.io/cloudfoundry/k8s/traffic-controller:107.0.34
